x=[0.360312], y=[0.959922], z=[0.000000]
x=[0.361874], y=[0.959530], z=[0.000000]
x=[0.363433], y=[0.959136], z=[0.000000]
x=[0.364990], y=[0.958740], z=[0.000000]
x=[0.366546], y=[0.958343], z=[0.000000]
x=[0.368099], y=[0.957943], z=[0.000000]
x=[0.369651], y=[0.957541], z=[0.000000]
x=[0.371201], y=[0.957138], z=[0.000000]
x=[0.372748], y=[0.956733], z=[0.000000]
x=[0.374294], y=[0.956326], z=[0.000000]
x=[0.375838], y=[0.955916], z=[0.000000]
x=[0.377380], y=[0.955505], z=[0.000000]
x=[0.378921], y=[0.955092], z=[0.000000]
x=[0.380459], y=[0.954678], z=[0.000000]
x=[0.381995], y=[0.954261], z=[0.000000]
x=[0.383530], y=[0.953842], z=[0.000000]
x=[0.385062], y=[0.953422], z=[0.000000]
x=[0.386593], y=[0.952999], z=[0.000000]
x=[0.388122], y=[0.952575], z=[0.000000]
x=[0.389648], y=[0.952148], z=[0.000000]
x=[0.391173], y=[0.951720], z=[0.000000]
x=[0.392696], y=[0.951290], z=[0.000000]
x=[0.394217], y=[0.950858], z=[0.000000]
x=[0.395737], y=[0.950424], z=[0.000000]
x=[0.397254], y=[0.949988], z=[0.000000]
x=[0.398769], y=[0.949551], z=[0.000000]
x=[0.400283], y=[0.949111], z=[0.000000]
x=[0.401794], y=[0.948669], z=[0.000000]
x=[0.403304], y=[0.948226], z=[0.000000]
x=[0.404812], y=[0.947781], z=[0.000000]
x=[0.406318], y=[0.947333], z=[0.000000]
x=[0.407822], y=[0.946884], z=[0.000000]
x=[0.409324], y=[0.946433], z=[0.000000]
x=[0.410824], y=[0.945980], z=[0.000000]
x=[0.412322], y=[0.945525], z=[0.000000]
x=[0.413818], y=[0.945068], z=[0.000000]
x=[0.415313], y=[0.944610], z=[0.000000]
x=[0.416805], y=[0.944149], z=[0.000000]
x=[0.418296], y=[0.943686], z=[0.000000]
x=[0.419785], y=[0.943222], z=[0.000000]
x=[0.421271], y=[0.942756], z=[0.000000]
x=[0.422756], y=[0.942287], z=[0.000000]
x=[0.424239], y=[0.941817], z=[0.000000]
x=[0.425720], y=[0.941345], z=[0.000000]
x=[0.427199], y=[0.940871], z=[0.000000]
x=[0.428677], y=[0.940395], z=[0.000000]
x=[0.430152], y=[0.939918], z=[0.000000]
x=[0.431625], y=[0.939438], z=[0.000000]
x=[0.433097], y=[0.938956], z=[0.000000]
x=[0.434566], y=[0.938473], z=[0.000000]
x=[0.436034], y=[0.937987], z=[0.000000]
x=[0.437500], y=[0.937500], z=[0.000000]
x=[0.438964], y=[0.937011], z=[0.000000]
x=[0.440426], y=[0.936520], z=[0.000000]
x=[0.441886], y=[0.936027], z=[0.000000]
x=[0.443344], y=[0.935532], z=[0.000000]
x=[0.444800], y=[0.935035], z=[0.000000]
x=[0.446255], y=[0.934536], z=[0.000000]
x=[0.447707], y=[0.934035], z=[0.000000]
x=[0.449158], y=[0.933533], z=[0.000000]
x=[0.450606], y=[0.933028], z=[0.000000]
x=[0.452053], y=[0.932522], z=[0.000000]
x=[0.453498], y=[0.932014], z=[0.000000]
x=[0.454941], y=[0.931503], z=[0.000000]
x=[0.456382], y=[0.930991], z=[0.000000]
x=[0.457821], y=[0.930477], z=[0.000000]
x=[0.459258], y=[0.929961], z=[0.000000]
x=[0.460693], y=[0.929443], z=[0.000000]
x=[0.462127], y=[0.928924], z=[0.000000]
x=[0.463558], y=[0.928402], z=[0.000000]
x=[0.464988], y=[0.927878], z=[0.000000]
x=[0.466415], y=[0.927353], z=[0.000000]
x=[0.467841], y=[0.926826], z=[0.000000]
x=[0.469265], y=[0.926296], z=[0.000000]
x=[0.470687], y=[0.925765], z=[0.000000]
x=[0.472107], y=[0.925232], z=[0.000000]
x=[0.473525], y=[0.924697], z=[0.000000]
x=[0.474941], y=[0.924160], z=[0.000000]
x=[0.476356], y=[0.923621], z=[0.000000]
x=[0.477768], y=[0.923080], z=[0.000000]
x=[0.479178], y=[0.922538], z=[0.000000]
x=[0.480587], y=[0.921993], z=[0.000000]
x=[0.481994], y=[0.921447], z=[0.000000]
x=[0.483398], y=[0.920898], z=[0.000000]
x=[0.484801], y=[0.920348], z=[0.000000]
x=[0.486202], y=[0.919796], z=[0.000000]
x=[0.487601], y=[0.919242], z=[0.000000]
x=[0.488998], y=[0.918686], z=[0.000000]
x=[0.490394], y=[0.918128], z=[0.000000]
x=[0.491787], y=[0.917568], z=[0.000000]
x=[0.493178], y=[0.917006], z=[0.000000]
x=[0.494568], y=[0.916443], z=[0.000000]
x=[0.495955], y=[0.915877], z=[0.000000]
x=[0.497341], y=[0.915310], z=[0.000000]
x=[0.498725], y=[0.914741], z=[0.000000]
x=[0.500107], y=[0.914169], z=[0.000000]
x=[0.501487], y=[0.913596], z=[0.000000]
x=[0.502865], y=[0.913021], z=[0.000000]
x=[0.504241], y=[0.912444], z=[0.000000]
x=[0.505615], y=[0.911865], z=[0.000000]
x=[0.506988], y=[0.911284], z=[0.000000]
x=[0.508358], y=[0.910702], z=[0.000000]
x=[0.509727], y=[0.910117], z=[0.000000]
x=[0.511093], y=[0.909531], z=[0.000000]
x=[0.512458], y=[0.908942], z=[0.000000]
x=[0.513821], y=[0.908352], z=[0.000000]
x=[0.515182], y=[0.907760], z=[0.000000]
x=[0.516541], y=[0.907166], z=[0.000000]
x=[0.517898], y=[0.906569], z=[0.000000]
x=[0.519253], y=[0.905972], z=[0.000000]
x=[0.520606], y=[0.905372], z=[0.000000]
x=[0.521957], y=[0.904770], z=[0.000000]
x=[0.523307], y=[0.904166], z=[0.000000]
x=[0.524654], y=[0.903561], z=[0.000000]
x=[0.526000], y=[0.902953], z=[0.000000]
x=[0.527344], y=[0.902344], z=[0.000000]
x=[0.528686], y=[0.901732], z=[0.000000]
x=[0.530025], y=[0.901119], z=[0.000000]
x=[0.531363], y=[0.900504], z=[0.000000]
x=[0.532700], y=[0.899887], z=[0.000000]
x=[0.534034], y=[0.899268], z=[0.000000]
x=[0.535366], y=[0.898647], z=[0.000000]
x=[0.536696], y=[0.898025], z=[0.000000]
x=[0.538025], y=[0.897400], z=[0.000000]
x=[0.539351], y=[0.896773], z=[0.000000]
x=[0.540676], y=[0.896145], z=[0.000000]
x=[0.541999], y=[0.895514], z=[0.000000]
x=[0.543320], y=[0.894882], z=[0.000000]
x=[0.544639], y=[0.894248], z=[0.000000]
x=[0.545956], y=[0.893612], z=[0.000000]
x=[0.547271], y=[0.892974], z=[0.000000]
x=[0.548584], y=[0.892334], z=[0.000000]
x=[0.549895], y=[0.891692], z=[0.000000]
x=[0.551205], y=[0.891048], z=[0.000000]
x=[0.552512], y=[0.890403], z=[0.000000]
x=[0.553818], y=[0.889755], z=[0.000000]
x=[0.555121], y=[0.889106], z=[0.000000]
x=[0.556423], y=[0.888454], z=[0.000000]
